frame,p_complete,p_incomplete,p_interception,leader,separation,receiver_to_catch_point,projected_separation_at_catch,ball_to_receiver,receiver_y,closing_speed,defender_to_catch_point,receiver_speed,receiver_x,receiver_defender_speed_diff,ball_z,ball_y,defender_can_arrive,second_defender_dist,receiver_will_arrive_first,ball_x,defender_speed,defender_alignment,receiver_alignment,time_remaining,delta_complete,delta_incomplete,delta_interception
0,0.2759110194856335,0.6999344843070635,0.02415449620730326,incomplete,2.495055109611811,23.761414619167592,14.805400770252026,25.860514415972272,14.98,0.0,25.000574329828922,8.372574275573774,67.87,4.128755240789124,3.431564285714286,24.162500016348705,0.0,20.0,1.0,43.69464272635324,4.24381903478465,-0.7491192540502878,-0.2845520988827435,2.7,0.0,0.0,0.0
1,0.5067039960343924,0.4738964259013668,0.0193995780642409,complete,2.532370431038868,22.91455282035946,12.927370423166147,24.865637987716745,14.87,-0.3731532142705696,24.53278663597665,8.471717653463093,68.71,3.583977889523104,4.756028571428572,23.685000032697406,0.0,20.0,1.0,45.45928545270647,4.887739763939989,-0.701034737027738,-0.2840067769416987,2.6,0.2307929765487589,-0.22603805840569668,-0.0047549181430623574
2,0.6718069313721418,0.3116413455134168,0.01655172311444087,complete,2.6580067720003955,22.04323790608008,11.61723354939549,23.900103198693483,14.73,-1.2563634096152754,24.019523804365146,8.713208364316777,69.57,3.435898443533275,5.973392857142857,23.20750004904611,0.0,20.0,1.0,47.223928179059705,5.277309920783503,-0.6495580787428327,-0.31360873572679143,2.5,0.16510293533774933,-0.16225508038795,-0.0028478549498000306
3,0.8036074972895668,0.1811065532823632,0.015285949428069608,complete,2.794154612758573,21.162047251726136,9.868517019217538,22.943918829718772,14.59,-1.3614784075817754,23.43874416352696,8.811923740024127,70.44,2.9026090589465436,7.0836571428571435,22.730000065394815,0.0,20.0,1.0,48.98857090541294,5.909314681077584,-0.6039986432743494,-0.31180022754135983,2.4,0.13180056591742506,-0.13053479223105363,-0.0012657736863712632
4,0.7805584228515937,0.2029563924684439,0.016485184679961906,complete,2.9416491973041237,20.270980500651078,8.909435177935428,21.997084103175492,14.45,-1.4749458454555064,22.819498952234746,8.910667763978141,71.32,2.6337258333880627,8.08682142857143,22.25250008174352,0.0,20.0,1.0,50.75321363176618,6.276941930590079,-0.5795582141569424,-0.3100958842208061,2.3,-0.023049074437973105,0.021849839186080716,0.0011992352518922986
5,0.7307449692771312,0.24026508851364278,0.02898994220922566,complete,3.0860006480880697,19.378347634419647,7.752086390263556,21.053797871312888,14.3,-1.4435145078394607,22.15414943652478,8.926925562588815,72.2,2.2202125077458366,8.982885714285715,21.77500009809222,0.0,20.0,1.0,52.51785635811942,6.706713054842979,-0.5414333285616528,-0.32010109935925063,2.2,-0.04981345357446254,0.037308696045198875,0.012504757529263753
6,0.70752083612668,0.25128420149150377,0.041194962381815685,complete,3.2506614711470636,18.45452962965844,7.09228089094744,20.142110083414924,14.14,-1.6466082305899388,21.459842550690514,9.239588735436191,73.11,2.2503112334336066,9.77185,21.297500114440926,0.0,20.0,1.0,54.28249908447265,6.989277502002585,-0.5258725406434984,-0.32422881880068877,2.1,-0.02322413315045113,0.011019112977860984,0.012205020172590026
7,0.726935805682917,0.22943769408072812,0.04362650023635437,complete,3.371705799739952,17.540606334737184,5.830073522036615,19.22107895289913,13.98,-1.2104432859288838,20.709361356045743,9.141115905621207,74.01,1.6125038157337315,10.453714285714286,20.82000013078963,0.0,20.0,1.0,56.047141810825885,7.528612089887476,-0.4900304143876341,-0.3250452627612203,2.0,0.019414969556237005,-0.02184650741077565,0.0024315378545386873
8,0.7352311432142671,0.21205517710981786,0.05271367967591466,complete,3.5083899441196778,16.605408079422293,5.434865225461927,18.322304953360053,13.81,-1.3668414437972576,19.94162363970055,9.355746896961264,74.93,1.6635430515084408,11.028478571428572,20.34250014713833,0.0,20.0,1.0,57.81178453717912,7.692203845452823,-0.4703997712242612,-0.32998397986563505,1.9,0.008295337531350033,-0.017382516970910256,0.009087179439560285
9,0.7388927961797784,0.20654174880730644,0.05456545501291473,complete,3.627037358506253,15.660369869556293,4.688844784314162,17.43288180706925,13.64,-1.1864741438657544,19.136989295170224,9.45409963983872,75.86,1.4017707841597478,11.496142857142857,19.865000163487036,0.0,20.0,1.0,59.57642726353235,8.052328855678972,-0.4463152515931306,-0.3266157065610539,1.8,0.0036616529655113528,-0.0055134283025114195,0.0018517753370000736
