frame,p_complete,p_incomplete,p_interception,leader,separation,receiver_to_catch_point,projected_separation_at_catch,ball_to_receiver,receiver_y,closing_speed,defender_to_catch_point,receiver_speed,receiver_x,receiver_defender_speed_diff,ball_z,ball_y,defender_can_arrive,second_defender_dist,receiver_will_arrive_first,ball_x,defender_speed,defender_alignment,receiver_alignment,time_remaining,delta_complete,delta_incomplete,delta_interception
0,0.10512146987837595,0.8872677548117209,0.00761077530990321,incomplete,1.2938701635017318,25.870279610873506,9.965141261239081,24.63522335056996,39.36,0.0,27.151111761271377,9.25418824100744,52.81,1.2037224159759017,3.377485185185186,25.5992593270761,0.0,20.0,1.0,32.37629633020472,8.050465825031539,0.10381602861398191,0.32519329150476484,2.6,0.0,0.0,0.0
1,0.22950640005731832,0.7494545120055458,0.021039087937136255,incomplete,1.4101418368376943,24.944423524790732,8.880767763644085,23.595696777105438,39.49,-1.1627167333596256,26.35432732158042,9.291393867445244,53.73,0.9697353788986458,4.647870370370372,26.3485186541522,0.0,20.0,1.0,34.13259266040943,8.321658488546598,0.15224911791011048,0.3582498528359191,2.5,0.12438493017894237,-0.13781324280617513,0.013428312627233045
2,0.33451977462799953,0.6364351487072724,0.029045076664727644,incomplete,1.5469001260585662,23.99934504912306,8.121147263006428,22.5729079879905,39.62,-1.3675828922087185,25.54311388896776,9.489467845985928,54.67,1.084112410312823,5.8111555555555565,27.0977779812283,0.0,20.0,1.0,35.88888899061414,8.405355435673105,0.19650312624334654,0.35876286517480377,2.4,0.10501337457068122,-0.11301936329827345,0.008005988727591389
3,0.4261385683693411,0.5411147193275414,0.03274671230311703,incomplete,1.6807438829280332,23.04023785680281,7.256185592431519,21.56967783946879,39.77,-1.3384375686946703,24.707251275082598,9.61769203083564,55.62,1.0176920308356454,6.867340740740742,27.8470373083044,0.0,20.0,1.0,37.64518532081886,8.599999999999994,0.23920110599332317,0.37941032765932814,2.3,0.09161879374134158,-0.09532042937973095,0.0037016356383893848
4,0.4794508871856562,0.4913398356818044,0.029209277132538913,incomplete,1.8054639292990569,22.071639227545393,6.382830528968075,20.574930147050676,39.92,-1.2472004637102363,23.853539859538014,9.716480844420994,56.58,1.0072902964997485,7.816425925925928,28.5962966353805,0.0,20.0,1.0,39.40148165102357,8.709190547921246,0.29034156953609785,0.3810805263965454,2.2,0.053312318816315096,-0.04977488364573701,-0.003537435170578116
5,0.5310248669367672,0.4325964630863568,0.036378669976875486,complete,1.9374467734624312,21.091234099238008,6.045074354397906,19.59421423553022,40.08,-1.3198284416337436,22.996057532060245,9.831073186585463,57.55,1.1104080743363074,8.658411111111114,29.3455559624566,0.0,20.0,1.0,41.157777981228286,8.720665112249156,0.3186233390689037,0.3920146059901933,2.1,0.051573979751111,-0.058743372595447596,0.007169392844336573
6,0.532471092171995,0.41953900225791485,0.047989905570089704,complete,2.0259565641938138,20.1086885059712,5.022551155039101,18.619148560038518,40.25,-0.8850979073138254,22.093303510837284,9.847842403288205,58.52,0.7034452115647039,9.393296296296299,30.0948152895327,0.0,20.0,1.0,42.914074311433,9.1443971917235,0.35271018036455415,0.4041617575745121,2.0,0.0014462252352277494,-0.013057460828441947,0.011611235593214218
7,0.5579473971558877,0.39735993802538017,0.04469266481873176,complete,2.106395024680797,19.126373180284254,4.716992541878907,17.644255758390866,40.42,-0.8043846048698322,21.186246905784976,9.847842403288135,59.49,0.681599988863379,10.021081481481485,30.8440746166088,0.0,20.0,1.0,44.67037064163772,9.166242414424756,0.3786028360620452,0.40740955555306724,1.9,0.02547630498389275,-0.022179064232534684,-0.003297240751357941
8,0.5491092701955564,0.40862337379759656,0.04226735600684657,complete,2.187167117528971,18.129695213689132,4.308377525314873,16.688782739039002,40.61,-0.807720928481741,20.265008161662283,9.982484660644328,60.47,0.6910907931990167,10.54176666666667,31.5933339436849,0.0,20.0,1.0,46.42666697184243,9.291393867445311,0.40245869981849386,0.4265072036861821,1.8,-0.00883812696033126,0.01126343577221639,-0.002425308811885192
9,0.48896712900116945,0.4772950672526238,0.0337378037462063,complete,2.268237200999931,17.130704772845952,4.179009002318474,15.738844921505196,40.81,-0.810700834709599,19.34176190513608,10.001999800040034,61.45,0.6960877007345427,10.955351851851855,32.342593270761,0.0,20.0,1.0,48.18296330204714,9.305912099305491,0.4175391726426059,0.43787468213448993,1.7,-0.06014214119438699,0.06867169345502722,-0.008529552260640269
10,0.4174064265781694,0.5443689568860995,0.03822461653573065,incomplete,2.322434067955431,16.12934417299509,3.5797505152210496,14.794394754937265,41.02,-0.5419686695549997,18.391613611948888,10.02247474429342,62.43,0.469988157022053,11.261837037037042,33.091852597837104,0.0,20.0,1.0,49.93925963225186,9.552486587271368,0.44740718546208286,0.44891030787261194,1.6,-0.07156070242300006,0.06707388963347577,0.004486812789524348
11,0.3998713938160231,0.5609230656392985,0.039205540544677925,incomplete,2.363154671196952,15.123023534141979,3.1437893855096433,13.86072947639842,41.25,-0.4072060324152105,17.423861477275917,10.066280345788073,63.41,0.35803642631424104,11.461222222222226,33.8411119249132,1.0,20.0,1.0,51.695555962456574,9.708243919473832,0.4765745788402107,0.4675938175449345,1.5,-0.017535032762146296,0.01655410875319896,0.0009809240089472746
12,0.3670876691249566,0.588392360593767,0.044519970281275856,incomplete,2.3854978516024663,14.128968052636582,3.05203393675878,12.91331498972543,41.47,-0.22343180405514307,16.453575485916577,9.946356116689154,64.38,0.21701903752496143,11.55350740740741,34.5903712519893,1.0,20.0,1.0,53.451852292661286,9.729337079164193,0.48909204317251703,0.4630200704686734,1.4,-0.032783724691066496,0.02746929495446848,0.005314429736597931
13,0.31088360673168847,0.6564872359300291,0.03262915733828203,incomplete,2.39426397876257,13.129852839137076,2.7011311254164103,11.976591999189637,41.71,-0.08766127160103832,15.465268948002043,9.99249718538864,65.35,0.09704368390623941,11.538692592592596,35.3396305790654,1.0,20.0,1.0,55.208148622866005,9.8954535014824,0.515487187463764,0.48128819753713864,1.3,-0.05620406239326814,0.06809487533626213,-0.011890812942993823
14,0.2670356287255901,0.7113085674662423,0.021655803808167083,incomplete,2.39426397876257,12.128183412438386,2.52295632989995,11.045195515260513,41.96,0.0,14.464623774657465,10.016985574512914,66.32,0.0,11.416777777777781,36.0888899061415,1.0,20.0,1.0,56.96444495307072,10.016985574512914,0.5243150619943426,0.4902879242045564,1.2,-0.043847978006098354,0.05482133153621316,-0.01097335353011495
15,0.3377211702117675,0.6488230245985112,0.013455805189720801,incomplete,2.3711811402758802,11.129102849318812,2.3031516545701582,10.108493389195305,42.2,0.23082838486689905,13.448629601531259,9.992497185388778,67.29,-0.17263931148132095,11.187762962962967,36.8381492332176,1.0,20.0,1.0,58.72074128327543,10.1651364968701,0.5403376296912579,0.48320487372683785,1.1,0.0706855414861774,-0.062485542867731114,-0.008199998618446282
16,0.44808163950212426,0.5423718552824734,0.009546505215401612,incomplete,2.3306007809146587,10.127454148949074,2.057184177045235,9.177107333985358,42.45,0.4058035936122151,12.410642018152712,10.016985574512914,68.26,-0.3676184140848271,10.851648148148156,37.5874085602937,1.0,20.0,1.0,60.47703761348015,10.38460398859774,0.5458739742615638,0.4924860833888361,1.0,0.11036046929035676,-0.10645116931603771,-0.003909299974319189
17,0.5126485238529009,0.4775621017154579,0.00978937443164065,complete,2.2900873345791877,9.125816393474917,2.057184177045235,8.24572634937047,42.7,0.4051344633547105,11.372740762291752,10.016985574512914,69.23,-0.3676184140848271,10.408433333333338,38.3366678873698,1.0,20.0,1.0,62.23333394368486,10.38460398859774,0.5482747528389209,0.4934849045615603,0.9,0.06456688435077668,-0.06480975356701557,0.00024286921623903855
