frame,p_incomplete,p_complete,p_interception,p_incomplete_raw,p_complete_raw,p_interception_raw
0,0.8872677548117209,0.10512146987837595,0.00761077530990321,0.8775050817453962,0.11194898764568122,0.010545930608922609
1,0.7494545120055458,0.22950640005731832,0.021039087937136255,0.7803438564731013,0.20627847561462004,0.013377667912278518
2,0.6364351487072724,0.33451977462799953,0.029045076664727644,0.6023431537025533,0.363238441352262,0.034418404945184555
3,0.5411147193275414,0.4261385683693411,0.03274671230311703,0.5627763137889722,0.4050979624007687,0.0321257238102593
4,0.4913398356818044,0.4794508871856562,0.029209277132538913,0.4831767353658524,0.48917722808536246,0.027646036548785124
5,0.4325964630863568,0.5310248669367672,0.036378669976875486,0.4377964191167111,0.5273226914312515,0.0348808894520374
6,0.41953900225791485,0.532471092171995,0.047989905570089704,0.40565119537228855,0.544854782626881,0.04949402200083047
7,0.39735993802538017,0.5579473971558877,0.04469266481873176,0.42642304815078874,0.5239018842963439,0.04967506755286742
8,0.40862337379759656,0.5491092701955564,0.04226735600684657,0.3777695478047731,0.5910687677040669,0.031161684491160028
9,0.4772950672526238,0.48896712900116945,0.0337378037462063,0.4764178828165672,0.4757625540864636,0.047819563096969164
10,0.5443689568860995,0.4174064265781694,0.03822461653573065,0.5791339384188869,0.39691783561256727,0.023948225968545796
11,0.5609230656392985,0.3998713938160231,0.039205540544677925,0.5324497814237856,0.419415830446507,0.048134388129707426
12,0.588392360593767,0.3670876691249566,0.044519970281275856,0.5884889298591669,0.3691041954870517,0.042406874653781394
13,0.6564872359300291,0.31088360673168847,0.03262915733828203,0.6671865859052816,0.2998490149886128,0.03296439910610563
14,0.7113085674662423,0.2670356287255901,0.021655803808167083,0.6896045931720424,0.28904251409670856,0.021352892731249077
15,0.6488230245985112,0.3377211702117675,0.013455805189720801,0.7016305449806375,0.2853400142876399,0.013029440731722521
16,0.5423718552824734,0.44808163950212426,0.009546505215401612,0.4959390012199191,0.4941438330340876,0.009917165745993215
17,0.4775621017154579,0.5126485238529009,0.00978937443164065,0.4812922595702101,0.5097428020272415,0.008964938402548379
18,0.5266085348921514,0.4631168347767459,0.010274630331102087,0.5247359869820286,0.46381801083119417,0.011446002186777207
19,0.504465056310528,0.4862000601746177,0.009334883514853804,0.5368343587113322,0.4541504610440087,0.009015180244658999
20,0.44528377558722326,0.5474099604725648,0.007306263940211414,0.4063051577293091,0.5867015415656416,0.006993300705049393
21,0.37910245352227917,0.6138643507839412,0.007033195693779144,0.3995080283498604,0.5935206514389417,0.006971320211197908
22,0.32282253373504083,0.6711358983322024,0.006041567932756193,0.3280520732112197,0.6650589691259832,0.006888957662797109
23,0.266013867398161,0.7287896334457709,0.005196499156067526,0.241611434606733,0.7544245140638418,0.003964051329425091
24,0.22900247719485084,0.766616159293708,0.004381363511440594,0.250871548718498,0.743827798283698,0.005300652997803923
25,0.17782617184573313,0.8187015056943255,0.003472322459941338,0.18182280249528412,0.8145529410275553,0.003624256477160573
26,0.12123791124045996,0.8761475072522427,0.0026145815072976504,0.11559475066174323,0.8820198497539626,0.0023853995842941446
